row_index,country,date,file_name,link,region,story,title,story_id,country_simple,story_title,story_link,lat,lng,250topics_NER,Topic,category2,category,category3,week_year
10,Lesotho,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,AFP - http://news.yahoo.com/lesotho-pm-reconvene-parliament-coup-182539007.html,Eastern and Southern Africa,"Lesotho's PM on Thursday announced plans to reconvene parliament, which he had suspended in June, as he scrambled to ease the crisis engulfing his country following the weekend's botched coup. In his first radio address since returning home from four days of exile in South Africa, Premier Tom Thabane said he would recall parliament on 19 September, subject to the king's approval. Thabane had enraged his political opponents by suspending parliament in order to avoid a vote of no confidence. There is now widespread speculation that he is likely to dissolve parliament again on the same day he reconvenes it, in a new bid to dodge a ""no confidence"" vote against him.",PM to reconvene parliament after 'coup',47,lesotho,PM to reconvene parliament after 'coup',AFP - http://news.yahoo.com/lesotho-pm-reconvene-parliament-coup-182539007.html,-29.609988,28.233608,"[(190, 0.98189090908247445)]",190,,Political/social unrest,,0/35/2014
11,Mozambique,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,AFP - http://www.dailystar.com.lb/News/World/2014/Sep-04/269569-mozambique-rebel-leader-arrives-in-maputo-to-cement-peace-deal.ashx#axzz3CNXhOM7W,Eastern and Southern Africa,"Mozambican rebel leader Afonso Dhlakama came out of hiding Thursday, returning to Maputo in a symbolic end to a two-year conflict that has rekindled memories of a brutal civil war and spooked investors. An AFP reporter witnessed the Renamo leader touch down in the capital Maputo, flanked by foreign diplomats -- there as a guarantee of his safety -- ahead of a meeting to cement a peace deal with President Armando Guebuza Friday.",Rebel leader arrives in Maputo to cement peace deal,48,mozambique,Rebel leader arrives in Maputo to cement peace deal,AFP - http://www.dailystar.com.lb/News/World/2014/Sep-04/269569-mozambique-rebel-leader-arrives-in-maputo-to-cement-peace-deal.ashx#axzz3CNXhOM7W,-18.665695,35.529562,"[(23, 0.050354490739941839), (84, 0.09609609915227281), (102, 0.53686598425724719), (108, 0.047307957744323649), (169, 0.24604213477288348)]",102,,Political/social unrest,,0/35/2014
12,Mexico,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,AFP - http://www.centnews.com/Politics/Mexico-lacks-political-will-to-stop-torture-Amnesty/S-2014-09-04/88310.html,Latin America and the Caribbean,"Cases of torture have soared by 600 percent in Mexico in the past decade but the government lacks the political will to eradicate the practice, Amnesty International said. Citing figures from Mexico's National Human Rights Commission (CNDH), the London-based organization said reports of torture and ill-treatment jumped from 219 in 2003 to 1,505 in 2013. The international human rights group said the use of torture surged after 2006, when then president Felipe Calderon deployed troops to crack down on drug cartels. President Enrique Pena Nieto, who took office in December 2012, has maintained troops on the ground while promising in a letter to Amnesty to implement policies to eradicate any act of torture.",Cases of torture have soared by 600%,49,mexico,Cases of torture have soared by 600%,AFP - http://www.centnews.com/Politics/Mexico-lacks-political-will-to-stop-torture-Amnesty/S-2014-09-04/88310.html,23.634501,-102.552784,"[(33, 0.01773233513399183), (153, 0.30104607238561776), (217, 0.66418710966092864)]",217,,conflict,,0/35/2014
13,Mexico,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Reuters - http://af.reuters.com/article/commoditiesNews/idAFL1N0R607220140905,Latin America and the Caribbean,"Hurricane Norbert dumped heavy rain on parts of western Mexico on 4 September, causing the death of at least one man, as it churned north toward the Pacific beach resorts on the Baja California peninsula. Blowing sustained winds of 150 kph, Norbert was expected to begin weakening on 5 September, the National Hurricane Center (NHC) said in a statement. Parts of Colima suffered some flooding, although the rains had stopped there by the evening, authorities said. Norbert was about 60 km southwest of the southern tip of Baja California and moving north-northwest at around 13 kph, the NHC said.",Hurricane Norbert dumps rain on Pacific coast,50,mexico,Hurricane Norbert dumps rain on Pacific coast,Reuters - http://af.reuters.com/article/commoditiesNews/idAFL1N0R607220140905,23.634501,-102.552784,"[(94, 0.98120754716981773)]",94,Political/social unrest,disaster,,0/35/2014
14,Across MENA,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Reuters - http://www.reuters.com/article/2014/09/04/us-mideast-israel-syria-idUSKBN0GZ1CG20140904,Middle East and North Africa,"A projectile from fighting in the Syrian civil war struck the Israeli-occupied Golan Heights on 4 September and Israeli forces responded by attacking a Syrian army position, the military said. In a statement, the military said it appeared the shooting from Syria was ""errant fire"" from battles between forces loyal to Syrian President Bashar al-Assad and rebels trying to topple him. The military said that in response to the latest fire from the Syrian side of the frontier, ""the IDF (Israel Defense Forces) targeted a Syrian army position, and hits were confirmed"". It did not say what type of attack Israel carried out.","Fire from fighting in Syria hits Israeli-held Golan, Israel shoots back",51,,"Fire from fighting in Syria hits Israeli-held Golan, Israel shoots back",Reuters - http://www.reuters.com/article/2014/09/04/us-mideast-israel-syria-idUSKBN0GZ1CG20140904,0.0,0.0,"[(3, 0.014876404540552919), (62, 0.63459278265030405), (107, 0.13931846774011539), (112, 0.19299012280907513)]",62,,Political/social unrest,,0/35/2014
15,Iraq,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,UN News Centre - http://www.un.org/apps/news/story.asp?NewsID=48640#.VAmBpWjD_cs,Middle East and North Africa,"The WFP announced that it has resumed delivering food assistance to an area of Iraq encompassing much of the western part of the country for the first time since May, targeting 76,000 people who are part of a massive displacement of families fleeing fighting. The latest deliveries bring the total number of people assisted by WFP since mid-June to over 838,000, the agency said in a press release. The FAO, meanwhile, said it is scaling-up critical assistance to highly vulnerable rural households as a result of a $14.7 million grant from Saudi Arabia. The funds will mainly be used to respond to the needs of thousands of rural households whose livelihoods depend on cereal crops and livestock and who are struggling to survive. The UNOPS began distribution of solar-powered lamps and mobile phone charging kits in collaboration with the UNHCR in the Kurdistan Region of Iraq.",UN agencies ramp up much-needed aid amid alarming rate of displacement,52,iraq,UN agencies ramp up much-needed aid amid alarming rate of displacement,UN News Centre - http://www.un.org/apps/news/story.asp?NewsID=48640#.VAmBpWjD_cs,33.223191,43.679291,"[(85, 0.046579985524398369), (113, 0.8692932636919718), (140, 0.069597338952418542)]",113,,Political/social unrest,,0/35/2014
16,Lebanon,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Reuters - http://www.trust.org/item/20140905113543-jrxxr/,Middle East and North Africa,"Al Qaeda's Syrian branch, the Nusra Front, told Lebanon's Sunni Muslims they must support its cause or ""pay the price"" and said the coming period would be decisive for anyone who stood with the Lebanese army. The statements were made in a video which purported to show several Lebanese soldiers the militants captured during an incursion into a border town in August. It was not immediately possible to verify the video. On 5 September, the Nusra Front released a nearly half-hour long video showing several of the prisoners denouncing Hezbollah for supporting Syrian President Bashar al-Assad. The video also warned Shi'ites and ""all sects of Lebanon"" against supporting Hezbollah.","Nusra Front appeals to Sunnis, threatens army",53,lebanon,"Nusra Front appeals to Sunnis, threatens army",Reuters - http://www.trust.org/item/20140905113543-jrxxr/,33.854721,35.862285,"[(20, 0.02047194084196885), (94, 0.023367143245808096), (107, 0.070960900310712435), (127, 0.11453970683399596), (136, 0.3223283971550146), (149, 0.020575280565338507), (206, 0.29074063000997025), (231, 0.11973028675148069)]",136,,conflict,,0/35/2014
17,Libya,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,AP - http://abcnews.go.com/International/wireStory/250000-fled-militia-fighting-libya-25244000,Middle East and North Africa,"A UN report on Thursday said four months of fighting by militias in Libya's two biggest cities, Tripoli and Benghazi, has forced some 250,000 people to flee, including 100,000 who have been internally displaced. The report released by the UN Support Mission in Libya and the UN Human Rights Office estimated that some 150,000 people, including migrant workers, have fled the country. The report gives an overview of abuses including indiscriminate shelling and attacks on civilian objects, the shelling of hospitals, the abduction of civilians, torture and unlawful killings.","Some 250,000 people have fled militia fighting",54,libya,"Some 250,000 people have fled militia fighting",AP - http://abcnews.go.com/International/wireStory/250000-fled-militia-fighting-libya-25244000,26.3351,17.228331,"[(9, 0.013275464668804336), (26, 0.16290084117195264), (131, 0.027395801809519543), (153, 0.20588983286219573), (187, 0.074553107222929738), (211, 0.16755468289944961), (214, 0.14810219977823891), (215, 0.16156101290377559), (234, 0.017810534944004627)]",153,,conflict,,0/35/2014
18,Syria,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,OPCW - http://opcw.unmissions.org/AboutOPCWUNJointMission/tabid/54/ctl/Details/mid/651/ItemID/341/Default.aspx,Middle East and North Africa,"The Special Coordinator for the Joint Mission of the Organization for the Prohibition of Chemical Weapons and the United Nations (OPCW-UN) told the Security Council that 96% of Syrias declared stockpile, including the most dangerous chemicals, had been destroyed and preparation were underway to destroy the remaining 12 production facilities. The mission had overseen that destruction of 100% of priority chemicals and 96% of Syrias chemical weapons stockpile. Starting on 1 October, the OPCW will be in the lead  in partnership with the United Nations Office for Project Services (UNPOS) to begin destroying the 12 remaining chemical weapons facilities  seven so-called hangars and five tunnels.",Ninety-six percent of declared chemical weapons destroyed,56,syria,Ninety-six percent of declared chemical weapons destroyed,OPCW - http://opcw.unmissions.org/AboutOPCWUNJointMission/tabid/54/ctl/Details/mid/651/ItemID/341/Default.aspx,34.802075,38.996815,"[(157, 0.096831845212363432), (193, 0.06686586855093643), (198, 0.81833864987306604)]",198,,conflict,,0/35/2014
19,Nigeria,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,BBC - http://www.bbc.com/news/world-africa-29062004#,West and Central Africa,"Hundreds of civilians are fleeing Nigeria's northeastern city of Maiduguri as fears grow that Boko Haram militants may try to assault the Borno state capital after seizing towns and territory around it, residents said on 4 September. Heavily-armed Boko Haram fighters using captured military vehicles and weapons have taken towns and villages to the north, east and south of Maiduguri in the last few weeks and days in an apparent strategy to encircle the city and hold territory. Apprehension among Maiduguri residents grew after fierce fighting between Nigeria's military and attacking Boko Haram fighters over the town of Bama, 70 km southeast of Maiduguri. Thousands have fled Bama amid conflicting reports of who has control.",Hundreds flee Maiduguri as militants gain ground,63,nigeria,Hundreds flee Maiduguri as militants gain ground,BBC - http://www.bbc.com/news/world-africa-29062004#,9.081999,8.675277,"[(47, 0.025955836612598752), (130, 0.1053804843575769), (133, 0.38381389224831935), (140, 0.028390487434468838), (198, 0.43307169767381704)]",198,conflict,population displacement,,0/35/2014
20,Afghanistan,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Reuters - http://www.trust.org/item/20140905103808-z649h,Middle East and North Africa,"An UN-supervised audit of votes in Afghanistan's disputed presidential election has finished, an Afghan electoral official said on 5 September. The audit of the 14 June run-off election was part of a US-brokered deal to defuse escalating tension in a ballot intended to mark the country's first democratic transfer of power. ""The auditing and recount process of all votes were concluded late on 4 September,"" the Independent Election Commission (IEC) spokesperson reported in Kabul. The IEC has already begun invalidating votes deemed fraudulent, but it was unclear when the final results of the audit - and the next president of Afghanistan - would be announced.",Election audit completed in step toward new president,58,afghanistan,Election audit completed in step toward new president,Reuters - http://www.trust.org/item/20140905103808-z649h,33.93911,67.709953,"[(114, 0.59457531039276557), (206, 0.066134676331380204), (233, 0.32099371697902684)]",114,,Political/social unrest,,0/35/2014
21,India,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Hindustan Times - http://www.hindustantimes.com/india-news/flood-alert-in-srinagar-jhelum-flowing-above-danger-mark/article1-1259810.aspx,Middle East and North Africa,"The Kashmir valley is bracing for a major flood with water levels in Jhelum river rising with every hour as incessant rains continued to lash the valley on Thursday morning. With around 50 villages and parts of Srinagar battling flood water, the government declared a red alert and asked people to evacuate to safer places. ""People living along the banks of river Jehlum and embankments of different water bodies are asked to move to safer areas immediately in view of the flood situation,"" said Kashmir divisional commissioner. The water level in Jhelum which traverses from South Kashmir to north through Srinagar city rose to 21 metres at the city's Ram Munshi Bagh and 28.8 meters at Sangam.",At least 50 villages marooned after flood warning,59,india,At least 50 villages marooned after flood warning,Hindustan Times - http://www.hindustantimes.com/india-news/flood-alert-in-srinagar-jhelum-flowing-above-danger-mark/article1-1259810.aspx,20.593684,78.96288,"[(138, 0.98535294117646266)]",138,population displacement,disaster,,0/35/2014
22,Pakistan,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Reuters - http://www.trust.org/item/20140905091804-jtboq/?source=fiOtherNews3,Middle East and North Africa,"At least 73 people have been killed across Pakistan after heavy rains brought flash floods and caused homes to collapse in the Punjab and Kashmir regions, government officials said Friday. Most deaths occurred in the city of Lahore, PM Nawaz Sharif's powerbase, further damaging the government's standing after weeks of protests aimed at forcing the premier to step down. As the political crisis dragged through its third week, people's attention turned to the devastation brought by the floods, with television channels showing live images of villages and towns inundated by muddy water. At least 43 people have been killed in Punjab province and 30 in the Himalayan region of Kashmir in recent days, officials said.",Heavy rains kill 73 as floods spread,60,pakistan,Heavy rains kill 73 as floods spread,Reuters - http://www.trust.org/item/20140905091804-jtboq/?source=fiOtherNews3,30.375321,69.345116,"[(4, 0.088312695286776904), (138, 0.24301884416554281), (221, 0.13678845373348805), (228, 0.51600903907225659)]",228,Political/social unrest,disaster,disaster,0/35/2014
23,Pakistan,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Telegraph - http://www.telegraph.co.uk/news/worldnews/asia/pakistan/11077342/Pakistan-Taliban-splits-over-war-with-Islamabad.html,Middle East and North Africa,"The majority of Taliban commanders in Pakistan have broken away from the group's leadership in a feud over an army offensive in the country's unruly tribal areas, a former intelligence chief has claimed. In a split along tribal lines, commanders from the Mehsud and Wazir tribes have turned their backs on the group's leader, Maulana Fazlullah, who belongs to the Yusufzai tribe. It is thought the split could prompt a reduction in violence in the country's tribal areas. Large numbers of Uzbek and Arab fighters who had been fighting with the alliance are reportedly leaving the region as a result of the split. Lieutenant-General Hamid Gul, a former Pakistan spy chief, said he believed many had crossed into Afghanistan and were planning to join IS fighters in Iraq.",Taliban splits 'over war with Islamabad',61,pakistan,Taliban splits 'over war with Islamabad',Telegraph - http://www.telegraph.co.uk/news/worldnews/asia/pakistan/11077342/Pakistan-Taliban-splits-over-war-with-Islamabad.html,30.375321,69.345116,"[(3, 0.034125200149842876), (65, 0.037359856280593261), (95, 0.22361933730349884), (197, 0.68998651535696853)]",197,,conflict,,0/35/2014
24,Across WCA,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Reuters - http://www.trust.org/item/20140905121947-b7zgk/?source=fiOtherNews2,West and Central Africa,"Attacks by militant groups in northeast Nigeria have led thousands of people to seek refuge in Cameroon over recent days, some sleeping in schools and churches, UNHCR said. Last week militant groups from Nigeria crossed the border and attacked villages on the Cameroon side, slitting the throats of three people in a Catholic church in the village of Assighassia, burning down police stations and a local cotton company, UNCHR reported. The attacks in the past three weeks in the Gwoza area of Nigerias Borno state pushed the number of Nigerian refugees in Cameroon to some 39,000, according to local authorities, including 19,633 who have been registered by the UNHCR.",Militants pursue fleeing Nigerians across the border to Cameroon  UNHCR,62,,Militants pursue fleeing Nigerians across the border to Cameroon  UNHCR,Reuters - http://www.trust.org/item/20140905121947-b7zgk/?source=fiOtherNews2,0.0,0.0,"[(11, 0.026718534414516985), (33, 0.024496738038512253), (47, 0.074810442269445665), (62, 0.19463314958804068), (100, 0.030503992233971343), (133, 0.38518588843607715), (189, 0.050062155971971549), (196, 0.027565109600983136), (211, 0.026713266596042892), (220, 0.064206747633908323), (242, 0.078900585386024444)]",133,conflict,population displacement,,0/35/2014
